I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6,Pleth,Resp,Temp
-58,-26,32,41,-45,3,-61,-87,-128,126,-102,-19,841,88,365
52,70,18,-61,16,44,-81,-108,-143,118,-97,-16,960,50,365
77,129,53,-103,12,91,-81,-111,-146,116,-96,-37,1039,14,365
-3,58,60,-28,-32,59,-69,-109,-144,107,-93,-27,1086,-23,365
14,58,43,-36,-15,50,-43,-110,-145,105,-90,-29,1105,-50,365
22,59,37,-41,-7,48,-40,-111,-145,94,-105,-45,1106,-84,365
84,96,12,-90,36,54,-40,-108,-145,86,-110,-37,1097,-114,365
46,100,55,-73,-5,77,-40,-118,-154,82,-102,-42,1077,-144,365
4,84,80,-44,-38,82,-39,-141,-160,91,-100,-39,1051,-179,365
9,61,52,-36,-22,57,-43,-141,-166,90,-117,-40,1020,-211,365
28,81,53,-54,-13,67,-20,-138,-176,103,-131,-35,985,-245,365
57,102,46,-80,5,74,22,-142,-174,102,-127,-34,948,-278,365
44,87,43,-66,0,65,48,-137,-176,82,-122,-29,909,-312,365
56,94,38,-76,9,66,56,-147,-173,87,-121,-29,869,-343,365
34,67,33,-51,1,50,57,-150,-180,83,-113,-24,828,-373,365
44,74,29,-59,7,51,72,-152,-191,88,-119,-26,788,-403,365
40,63,23,-52,8,43,69,-148,-190,87,-127,-25,747,-433,365
61,81,20,-71,21,50,66,-125,-189,96,-101,7,704,-470,365
76,91,15,-84,30,53,63,-159,-185,100,-134,-18,661,-507,365
29,38,9,-34,10,23,61,-182,-185,73,-153,-31,614,-544,365
45,57,12,-51,16,34,58,-170,-183,75,-134,-17,563,-579,365
46,69,23,-58,11,45,62,-168,-177,99,-152,-16,508,-618,365
57,63,6,-60,25,34,59,-146,-172,109,-148,-6,449,-659,365
68,76,9,-72,29,42,59,-144,-169,109,-137,-2,386,-702,365
35,66,32,-51,1,49,64,-155,-163,118,-128,8,322,-754,365
23,47,24,-35,-1,35,35,-156,-162,105,-119,8,256,-803,365
66,83,17,-75,24,50,52,-154,-175,125,-117,39,193,-856,365
44,55,11,-50,16,33,47,-149,-174,149,-111,68,132,-914,365
70,63,-7,-66,38,27,61,-151,-167,133,-107,64,76,-968,365
126,119,-7,-122,66,56,87,-147,-164,133,-101,65,29,-1022,365
97,104,7,-101,45,55,92,-141,-147,143,-95,66,-12,-1074,365
100,122,21,-111,39,71,75,-134,-118,167,-84,66,-42,-1119,365
93,137,45,-115,24,91,15,-114,-106,190,-70,77,-62,-1171,365
111,161,50,-136,31,105,71,-83,-112,235,-45,119,-71,-1225,365
119,145,26,-133,47,85,75,-86,-112,222,-38,111,-72,-1276,365
110,109,-1,-109,55,53,37,-138,-135,159,-72,66,-67,-1322,365
58,57,-2,-57,30,27,41,-153,-151,145,-102,51,-56,-1368,365
49,55,5,-52,22,30,5,-149,-140,128,-111,49,-43,-1404,365
68,92,25,-80,21,58,19,-146,-147,151,-108,59,-27,-1442,365
-3,14,17,-6,-10,15,34,-154,-201,147,-152,44,-9,-1474,365
-5,-9,-5,7,0,-7,17,-168,-192,157,-138,55,8,-1507,365
44,47,2,-46,21,25,14,-124,-193,139,-150,38,17,-1541,365
57,74,17,-66,20,45,-28,-152,-204,143,-143,50,19,-1573,365
6,3,-3,-5,5,0,-32,-147,-166,143,-135,44,17,-1598,365
31,54,23,-43,4,38,15,-62,-134,118,-123,42,8,-1629,365
